Gene Symbol	GSM307886	GSM307887	GSM307888	GSM307889	GSM307890	GSM307891	GSM307892	GSM307893	GSM307894	GSM307895	GSM307896	GSM307897	GSM307898	GSM307899	GSM307900	GSM307901	GSM307902	GSM307903	GSM307904	GSM307905	GSM307906	GSM307907	GSM307908
CLDN2	633.94006	1074.9299	334.92212	967.34393	1082.6212	613.36304	664.36182	717.0929	427.40082	731.78503	646.05969	1408.0477	760.17444	634.87353	742.59228	548.32471	932.62628	728.46808	1454.329	1213.4865	1156.8651	473.06915	1093.3107
HDAC3	955.61591	850.34448	1317.4598	976.50879	1230.6803	1021.7339	867.50757	906.59357	913.88117	919.30243	1085.1313	1179.0253	1196.976	1162.7706	934.42633	911.83404	1020.5439	1065.3606	1051.4227	763.0434	709.60992	818.03772	896.16675
IPMK	181.71734	195.13645	178.49896	224.95416	159.7242	260.2229	244.28215	158.26545	308.14909	189.71511	207.79023	214.04272	213.58598	295.84417	192.28298	390.1542	224.15606	163.39589	162.34122	266.98158	216.68052	137.95691	257.89333
IPPK	488.63725	234.4903	314.30593	328.37447	466.7594	339.63558	391.02312	290.22178	358.28686	292.36818	445.67011	460.5858	291.96118	327.59168	320.30353	391.41849	308.9348	382.6108	194.29814	194.36588	263.3679	351.88573	222.42844
MMP1	7065.0107	13581.6	3070.5122	2483.1101	4335.8945	20653.537	6207.2271	18781.146	1898.835	8806.1074	2200.6624	8227.0967	30443.652	3734.6633	2022.5461	10986.593	24822.529	718.53711	17124.217	4984.1318	4454.0605	2701.7148	8078.9941
MMP10	3061.2524	1440.877	1819.1285	934.39185	3065.1501	5701.6504	1073.0438	1600.2853	585.7821	1471.4767	148.91022	704.13648	5245.1499	1187.4806	1211.0656	739.3797	3598.3362	318.043	370.15234	1292.0435	1885.8013	689.80182	2813.8315
MMP12	23188.447	18503.246	17856.191	12590.391	22539.094	22167.74	12883.895	18975.936	21951.363	28423.875	4806.0537	26693.273	28609.365	17917.504	19546.994	11458.966	25187.805	22210.137	16818.471	25435.443	18817.826	9458.709	14434.92
MMP13	16.642406	12.74895	9.541782	7.594312	17.978794	97.243927	22.875856	122.70572	5.11728	21.514139	6.754945	14.23335	74.514709	9.182376	61.965214	83.363205	102.38268	19.702518	6412.437	91.369034	28.095034	10.586135	11.165148
MMP3	9762.1162	10793.914	3922.5293	3072.3181	4436.5215	23351.387	4785.123	20016.33	2062.7241	12967.001	881.79553	7929.2197	32966.137	5918.5151	3280.3577	29857.68	29291.994	2264.812	17354.008	5168.9097	4990.8569	2502.3665	7661.3091
NCOR1	900.56544	791.29447	891.04513	942.24169	802.9364	727.98388	827.69794	671.23426	1249.1103	890.81152	933.61566	830.96829	726.77423	903.45606	1014.984	721.24455	789.03502	823.20528	759.55339	937.07272	758.41503	819.57045	905.35071
NCOR2	668.18037	593.61765	533.59172	454.32101	673.99694	646.22256	424.13833	565.96341	571.29752	482.55074	674.11026	784.38122	635.00256	591.68564	427.16641	656.6644	714.27942	536.54398	538.48949	495.35514	325.20595	491.30068	461.08199
OCLN	771.79454	866.64299	920.67576	1015.4818	711.40894	618.67143	2011.2076	934.82932	1412.6251	1009.6144	1472.1905	1022.5013	317.25862	960.13519	1081.3123	466.69495	800.2352	585.96708	497.38599	1303.0419	1058.199	1251.6943	989.90059
TJP1	1337.6614	1642.5205	1144.636	1158.8525	1089.3457	1388.1157	2752.3977	1718.445	1825.8418	1116.6151	2488.9588	1648.2644	925.4401	1258.3147	1185.2015	1055.2229	926.33359	974.66847	1080.2565	1715.5033	1331.1046	1120.8447	1391.2373
