Gene Symbol	GSM364627	GSM364628	GSM364629	GSM364630	GSM364631	GSM364632	GSM364633	GSM364634	GSM364635	GSM364636	GSM364637	GSM364638	GSM364639	GSM364640	GSM364641	GSM364642	GSM364643	GSM364644	GSM364645	GSM364646	GSM364647	GSM364648	GSM364649	GSM364650	GSM364651	GSM364652	GSM364653	GSM364654	GSM364655	GSM364656	GSM422963	GSM422965	GSM422967	GSM422969	GSM422971	GSM422973	GSM422975	GSM422977	GSM422979	GSM422981	GSM422983	GSM422985	GSM422987	GSM422989	GSM422991	GSM422993	GSM422995	GSM422997	GSM422999	GSM423001	GSM423003	GSM423005	GSM423007	GSM423009	GSM423010	GSM423011	GSM423012	GSM423013	GSM423014	GSM423015	GSM423016	GSM423017	GSM423018	GSM423019	GSM423020	GSM423021	GSM423022	GSM423023	GSM423024	GSM423025	GSM423026	GSM423027	GSM423028	GSM423029	GSM423030	GSM423031	GSM423032	GSM423033	GSM423034	GSM423035	GSM423036	GSM423037	GSM423038	GSM423039	GSM423040	GSM423041	GSM423042	GSM423043	GSM423044	GSM423045	GSM423046	GSM423047	GSM423048	GSM423049	GSM423050	GSM423051	GSM423052	GSM423053	GSM423054	GSM423055	GSM423056	GSM423057	GSM423058	GSM423059	GSM423060	GSM423061	GSM423062	GSM423063	GSM423064	GSM423065	GSM423066	GSM423067	GSM423068	GSM423069	GSM423070	GSM423071	GSM423072	GSM423073	GSM423074	GSM423075	GSM423076	GSM423077	GSM423078	GSM423079	GSM423080	GSM423081	GSM423082	GSM423083	GSM423084	GSM423085	GSM423086	GSM423087	GSM423088
CLDN2	32.4	56.3	77.4	22.4	22.6	29.1	104.6	206.9	89.2	188.3	329.1	176.8	243.4	185.8	327.5	256.8	171.2	111.5	134.5	127.9	167	163.9	173.9	299.9	93.9	55.8	169.8	170.2	89.6	245.5	70	92	155.6	43.4	95.8	67.1	76.7	55.4	156.8	171.5	166.2	234.4	127.2	179.8	160.7	275.2	197.7	97.1	58.9	110.8	7.3	165	97.1	189.5	173.5	161	164.4	65.1	42.3	114	73.2	113.1	65.2	80.3	54.5	124.6	20.8	164.7	60.2	74.1	20	134.5	63.8	230	138.1	186.5	45.2	100.5	83.3	183.9	167.5	74.8	75.4	99.7	118.6	324.5	134.7	195.2	295	101.6	127.7	536.6	148.2	309.4	288.1	281.6	165.7	235.2	232.7	380.3	682.8	834.5	687.1	584.5	658.3	71.7	135	219.6	584.6	303.5	301.5	407.9	408.6	266.8	205.2	354.4	252	296.1	159.1	407.6	369.3	327.5	573.3	1095.7	1079.2	174.6	420.3	269.5	407.3	156	209	160	150.2
HDAC3	254.5	225.4	212.2	214	230.7	264.1	286.7	281.3	181.8	306	232.6	202.8	306.3	293.8	299.1	301.3	318.9	219.1	223.4	282.3	224.1	309.7	267.2	227.4	328.5	232.8	229.8	279.4	196.3	219.4	266.4	221.8	247.7	245.3	229.5	257.1	263.2	300.6	325.7	316.9	229	252.7	242.4	240.6	204.3	191.2	210.6	196.6	260.7	219.2	259.4	270.3	279	256	331.4	307.2	319.7	265.1	258.9	232.3	271.3	320.8	254.8	210.4	214.2	224	238.7	204.4	266	200.2	241	210.6	263.2	357.2	290.4	263.7	232.5	195.3	266.6	266.4	199	157.7	209.6	182.9	231	208.7	279.6	228.3	285.7	276.1	303.1	247.8	237.1	244	228.4	265.4	249.9	291.9	268.2	188.4	260.7	230.3	287.9	272.5	251.6	306.8	211.7	240.9	195.1	281.6	303.8	272.5	428.2	305.5	321.3	259.4	200.7	218.5	227.7	240.1	244.7	275.4	375.7	231.8	307.3	248.1	288.1	341.8	259.4	288.7	243.6	232.1	234.1
IPMK	119.85	90.1	53.35	147.6	107	70.5	68.25	66.1	89.45	86.15	152.75	104.5	99.95	56.1	87.35	45.7	39.9	72.9	64.25	49.65	106.9	47.7	76.5	79.45	40.45	97.5	58.2	54.9	128.2	69.85	51.3	87.1	42.7	110	108.5	158.8	110.7	34.15	61.6	52.75	50	71.7	91.8	84.4	90.6	46.2	76.6	92.45	63.65	76.05	72.95	65.55	149.2	94.2	54.4	55.05	65.65	61.15	42.3	98.95	71.3	25.05	72.3	126.3	132.65	118.05	58.1	146.95	56.55	119.9	75.7	85.95	149.6	53.6	77.95	57.05	46.25	42.65	45.5	53.5	74.45	80.4	68.8	83.65	62.15	170.15	75	51.3	50.9	57.55	57.5	157.4	72.75	206.8	128.75	123.85	129	135.5	149.45	78.35	90.05	87.05	122.25	125.25	187.25	98.7	121.75	126.2	126.3	100.95	127.7	66.05	69.15	50.25	56.25	115.6	141	120.55	118.3	87.4	123.85	80.1	85.8	149.4	100.25	97.45	72.25	62.8	82.8	74.85	77.35	71.25	74.65
IPPK	75.85	47.95	60.05	81.05	68.7	43.25	56.15	50.95	40.95	70.3	93.4	74.3	96.2	61.55	51.4	71.4	50.75	53.7	75.25	59.2	39.8	62.95	57.95	62.65	66.25	73.4	52.15	22	49.3	52.85	84.2	51.8	77.5	44.25	71.85	58.7	60.4	90.95	70.35	82.25	51.2	61.35	87.7	54.55	62.9	54.8	52.25	122.3	78.5	84.15	92.45	51.05	70.4	68.5	54.35	79.15	76.2	62.35	25.15	48.55	72.65	89.45	94.35	56.15	106.35	57.2	39.95	98.35	50.45	60.15	60.25	65.9	91.55	61.95	31.75	53.1	52.45	55.2	68.95	59.45	32.35	35.5	59.95	77.65	64.6	43.4	77.9	48.9	68.4	56.7	94.6	59.25	28.8	25.35	71.8	41.8	43.8	93.8	53.25	47.75	57	60.7	56.75	43.25	50.35	58	51.3	67.5	58.3	40.45	81.05	32.95	67.45	95.9	32.7	51.75	60.45	70.2	50.05	71.95	36.9	66.15	121.2	71.2	43.9	51.1	35.75	47.2	54.95	55.4	49.65	49.35	61.05
MMP1	17.3	0.7	851.9	33	35.4	26.8	527.1	6595	892.8	589.2	1016.4	2645	1690.3	445.5	6938.2	1391.8	6943.6	5808.7	4050.5	12271.1	1384.2	246.7	7160.2	8649.2	10749.8	7044.1	12412.6	2005.7	491.6	6344.9	111.6	192.5	225.8	26.7	399.7	21.6	50.5	46.6	577.1	2816.8	1424.8	5130.3	412.6	1129.1	1695.7	8500.4	7196	8296.6	21.4	136.1	115.1	9131	190.3	2752.1	1155.3	1.7	2654.9	1180.5	108.5	890.2	123	4317.3	128.4	568.3	1.1	2532.8	40.1	1211	37.2	469.4	30.5	5608.8	134.8	609.4	915.5	1342.3	51.5	7185	4277.1	8961.5	9752.9	12817.8	3885	7621.6	4259.4	7497.8	18018.1	9744.1	2800.3	14203.8	3573.1	283.9	273.6	339.1	114.9	146.9	75.9	1392.2	554.2	5103.3	9351.2	8010	410.8	2287.4	1582.9	92.9	335.9	670.5	6044.7	2589.2	308	3318.8	1770.7	3095.5	1806.8	5267.4	1432	2709.4	990	2848	1530	2565.9	1620.5	8743.7	4048	4781.2	7527.3	11199.5	7565.5	15093.1	12529	12386.4	9695.4
MMP10	11	20.9	47.9	1.9	5	0.7	237.1	287	264.5	60.6	194.4	234.6	169.2	223	1285.2	319.6	1583.3	1533.8	430.2	994.9	659	122.8	842.2	434.8	914.9	953.7	1671.1	258	404.8	1584.9	34.4	40.7	36	23.4	26.4	12.8	51	7.1	61.7	547.4	287.7	1119	53	261.7	701.4	690.5	397.4	375.2	25.4	26.4	4.8	485.5	193.5	258.5	116.7	5.9	194.6	369.2	1.5	165.4	40.7	120.2	22.9	161.7	19.9	579.6	23.3	72.7	0.9	67.2	17.7	65.6	70.3	201	397.7	1184.9	28.6	839.2	374.4	374.9	540.8	275.8	129.1	215.9	245	1476.8	2142.6	1194.3	270.4	1117.4	319.9	11	0.9	27	26.2	7.9	0.6	121.7	5.1	194.9	25.4	409	7	207.3	31.4	7.1	36.4	33.2	356	68.4	8.9	215.1	47.3	49.3	70.2	194.2	66	194.5	61.7	132.3	58.8	113.3	58.6	292.4	5.9	47.4	104.7	1115.5	580.5	227.5	109.2	1280.1	170.9
MMP12	195.4	97.8	838.7	111.7	58.4	135.6	2662.1	4880.3	2318.6	1356.9	5160.4	2437.3	2988.3	2724.5	6216.7	4597.4	7665.5	6201.5	4145.3	10592.2	5071.1	2067.4	6404.1	7068.9	9474.9	5363.3	5601.9	4900.5	3374.8	6386.1	476.7	1033.3	974.5	107.5	487.4	184.6	426.5	361	387.8	6576.6	3668.5	5659.2	1950.6	3220.9	3104	7955.7	5669.6	5387	439.8	648.6	153.3	7993.6	1631.1	4583.2	1923.7	186.9	1854.7	8374.8	691.3	2277.9	812.1	2242.1	219.8	3792.8	59.7	2780.2	132.3	1964	786.9	2700.5	242	932.9	247.2	2275.7	3038.1	7517	445.6	5385.1	2258.8	3422.9	6143.4	5040.7	3678.9	2612.8	4181.7	4443.7	16929.6	7475	4073.9	15117.9	4339.3	848	317.2	65.8	210.7	278.1	1072.3	378.7	162.4	318.7	96	3484.7	216.4	921.4	295.3	700	239.2	143.6	218.7	1969.1	386.9	4738.3	98.6	399.1	237.7	2922.4	1478.8	1091.7	408.4	1845.8	288.8	1011.3	181	1598	1186.4	872.7	719.3	9913	1321.9	4745.5	3553.4	5875.5	3171.6
MMP13	5.1	2.3	15.4	2.7	4.3	11.3	1.1	178.4	11.2	1.2	6.1	20	40.2	3	11.9	8.4	10.6	3.1	23.2	9.8	0.9	5.4	30.6	124.8	565.6	53.1	101.1	5.7	1.4	18.2	1.2	4.7	12.5	2.4	7.2	3	5.4	17.5	3.7	2.5	6.5	1.5	10.5	2.9	1	36	112.3	351.8	5.2	2.9	6.9	19.2	2.6	16.9	5.2	3.6	36.7	1.1	5.1	2.8	1.1	50	1.5	1.9	4.2	1.2	3.4	1	2.4	1.8	2.4	23.9	3.1	21.2	4.7	1.7	2.8	92.5	80.7	300.7	205.8	95.4	27.5	16.8	123.9	206.7	2684.1	21.5	1.4	40.7	18	10.2	0.9	2.1	4.3	11.4	2.2	3.1	2.7	1.3	2.5	5.2	2.5	3.3	3.6	1.1	2.7	1.1	11.8	30.1	1.3	5.3	5.1	11.5	4.2	12.9	3.3	3.7	25.3	2	2	16.3	22.3	30.9	7.3	4.1	2	8.6	3.9	26	1.4	76.6	66.2
MMP3	29.3	20.1	507.9	23.7	42.2	19.1	1076.3	5484.5	747.1	618.8	585.7	3083.7	1750.5	461.9	7028.5	2821.7	11214.2	6743.1	4655.3	10097.7	3038.6	581.9	9335.2	7439.2	8821.4	9821.6	13602.7	2586.4	1631	8237.5	115	62	120	20.2	122.3	30.4	15.9	17.7	95.7	4089.6	1867.8	5423.1	627.7	1962.4	3355.1	15618.2	10081.7	9105.2	60.2	90.2	79.5	11666.5	282.3	4968.3	934.8	5.6	2343	1215.9	3.5	1192.2	83.4	2544.7	70.1	961.4	8.2	3856.8	11.5	2512.9	34.2	925.8	1.6	3504.4	99.2	749.6	1287.6	2433.7	91.5	8504.1	3818.8	6898.5	10540.5	14051.9	4887.5	8826.7	4653.8	9139	18574.6	11970.1	3237.6	12635.9	4838.7	52.8	2.5	35.2	35	63.8	14.1	185.1	18.2	850	178.3	5493.6	17.1	1305.8	155.2	36.3	110.3	131.2	1087.4	1270.7	41	2341.8	32.2	1072.5	162.1	3372.1	848.6	3778.9	646.8	1157.8	187.2	676.4	83.2	4636.4	1537.8	1722.2	507.8	9058.3	4616.2	14579.1	8948.6	12098	8458.1
NCOR1	310.76	376.66	336.04	293	352.9	310.86	366.56	244.98	322.02	353.48	285.78	308.78	261.58	260.7	248.2	270.24	214.48	252.54	250.1	213.98	283.3	308.26	207.8	240.88	229.72	309.3	286.48	312.2	311.24	294.9	275.7	301.38	319.42	325.68	277.98	297.56	277.78	276.28	271.98	257.3	268.84	266.64	305.56	278.74	268.34	191.6	231.78	333.9	361.68	324.26	278.82	225.74	246.04	299.74	244.72	301.68	226.92	347.54	265.24	358.22	313.64	234.9	264.54	374.58	321.94	335.08	311.02	399.46	305.54	348.12	380.62	315.72	309.4	271.04	286.22	240.98	255.78	267.4	258.3	183.78	195.64	269.32	259.4	350.42	385.66	285.08	216.06	216.26	215	258.44	271.5	276.06	244.9	230.62	285.04	241.96	253.68	356.46	303.7	269.56	274.44	278.88	252.6	284.02	282.08	307.84	305.48	290.1	274.24	237.9	250.88	293.18	277.92	283.84	279.18	263.7	315.86	278.74	317.16	333.6	275.7	271.92	218	226.5	298.5	295.8	274.78	209.34	248.5	212.94	217.18	241.82	312.62
