Gene Symbol	GSM578713	GSM578714	GSM578715	GSM578716	GSM578717	GSM578718	GSM578719	GSM578720	GSM578721	GSM578722	GSM578723	GSM578724	GSM578725	GSM578726	GSM578727	GSM578728	GSM578729	GSM578730	GSM578731	GSM578732	GSM578733	GSM578734	GSM578735	GSM578736	GSM578737	GSM578738	GSM578739	GSM578740	GSM578741	GSM578742	GSM578743	GSM578744	GSM578745	GSM578746	GSM578747	GSM578748	GSM578749	GSM578750	GSM578751	GSM578752	GSM578753	GSM578754	GSM578755	GSM578756	GSM578757	GSM578758	GSM578759	GSM578760	GSM578761	GSM578762	GSM578763	GSM578764	GSM578765	GSM578766	GSM578767	GSM578768	GSM578769	GSM578770	GSM578771	GSM578772	GSM578773	GSM578774	GSM578775	GSM578776	GSM578777	GSM578778	GSM578779	GSM578780	GSM578781	GSM578782	GSM578783	GSM578784	GSM578785	GSM578786	GSM578787	GSM578788	GSM578789	GSM578790	GSM578791	GSM578792	GSM578793	GSM578794	GSM578795	GSM578796	GSM578797	GSM578798	GSM578799	GSM578800	GSM578801	GSM578802	GSM578803	GSM578804	GSM578805	GSM578806	GSM578807	GSM578808	GSM578809	GSM578810	GSM578811	GSM578812	GSM578813	GSM578814	GSM578815	GSM578816	GSM578817	GSM578818	GSM578819	GSM578820	GSM578821	GSM578822	GSM578823	GSM578824	GSM578825
CLDN2	731.10852	778.10205	633.94006	473.63312	374.52481	1074.9299	717.29736	1243.7505	1211.3718	334.92212	236.81978	964.55926	660.35821	447.6217	1004.0996	606.65125	287.52103	234.73552	967.34393	306.18054	31.951086	1082.6212	302.45798	791.19647	939.76965	299.82974	613.36304	664.36182	717.0929	1134.1945	427.40082	422.77582	731.78503	672.99243	211.10275	646.05969	207.67363	521.66156	1408.0477	1216.6799	1092.3694	721.89661	534.44434	226.87224	760.17444	578.77832	341.5097	1817.9584	309.76059	713.59509	527.36902	809.55518	300.5575	406.42822	761.18066	634.87353	255.14098	252.84064	1033.207	820.52307	585.45306	625.146	759.68567	742.59228	176.08154	191.52289	548.32471	1067.4977	874.97516	932.62628	733.01977	534.21533	515.41077	160.3873	332.84097	728.46808	716.09113	1454.329	1504.9291	1213.4865	1392.3103	2632.699	841.40033	1201.8566	1156.8651	270.63672	311.1365	368.93616	175.4081	163.88003	842.44623	705.95551	461.14249	417.80216	1296.8843	1275.3497	164.2408	216.59808	1181.964	687.57025	1341.8433	1381.7743	473.06915	837.01904	1088.3093	1328.1199	1640.4467	1245.8599	1093.3107	343.40991	238.17577	782.22644	169.6048
HDAC3	885.323	1040.7955	955.61591	957.35376	796.61163	850.34448	1032.8068	1302.818	897.3172	1317.4598	761.50519	909.591	1030.4773	762.9082	874.38373	827.55353	700.49487	1062.9453	976.50879	958.63995	904.02039	1230.6803	951.45196	862.80469	803.98016	848.97095	1021.7339	867.50757	906.59357	1061.7391	913.88117	1020.8008	919.30243	958.20795	1015.6215	1085.1313	1137.936	968.86102	1179.0253	1038.1731	1039.0731	828.02338	968.94788	1015.5079	1196.976	1171.5258	1093.9037	825.18231	1067.9144	1394.5729	1049.4465	984.28302	945.77893	1026.2957	987.82141	1162.7706	893.82434	962.30896	987.19629	1239.6913	876.11414	756.29504	1043.6088	934.42633	1025.2551	867.29736	911.83404	1140.1342	946.85388	1020.5439	859.84784	789.80701	1213.0719	937.52423	1079.1151	1065.3606	868.84406	1051.4227	954.83063	763.0434	1072.7943	929.38593	776.513	710.66235	709.60992	710.85113	856.98505	952.12054	1020.8588	1020.1381	937.99237	1006.3844	998.31634	1115.5394	995.70142	1088.9121	842.23535	951.164	792.62268	1149.5737	1080.7339	997.10211	818.03772	1103.8723	850.23114	1004.1478	920.59454	808.63623	896.16675	892.1748	898.54974	902.21137	942.38037
IPMK	187.51018	157.64098	181.71734	185.92077	257.99602	195.13645	143.60627	151.18858	216.55306	178.49896	207.6262	233.23336	215.31482	285.67268	223.78234	265.48387	211.53108	271.4344	224.95416	183.15206	224.10229	159.7242	102.53147	265.25445	262.10985	300.55732	260.2229	244.28215	158.26545	177.56469	308.14909	248.06642	189.71511	168.93631	323.48174	207.79023	193.19618	229.68162	214.04272	259.63958	180.30583	244.25477	291.91903	304.77559	213.58598	233.40704	289.81072	265.74339	203.40212	168.49437	245.67961	182.05694	163.72272	142.3017	202.63634	295.84417	180.74747	233.6871	153.59168	163.67073	226.363	165.10414	193.50139	192.28298	127.08112	74.984575	390.1542	158.2212	178.87049	224.15606	179.91843	190.14243	165.94364	222.63307	193.29085	163.39589	189.2567	162.34122	164.30029	266.98158	218.1471	159.3539	272.21932	253.16171	216.68052	262.09027	244.61025	231.70553	221.72504	250.49261	148.24448	278.27089	108.27428	223.7705	181.59285	103.44567	128.83199	115.84528	240.31364	254.80363	226.5681	349.05199	137.95691	175.78602	164.54435	340.92631	184.75756	289.93146	257.89333	206.53577	216.17418	152.25902	172.07321
IPPK	222.36764	300.00568	488.63725	270.46829	330.42564	234.4903	276.85974	264.41927	319.04291	314.30593	376.83737	347.85479	297.43971	332.17558	296.65219	338.74869	268.47794	297.68666	328.37447	230.43512	248.81307	466.7594	332.65172	377.54108	314.72774	269.50298	339.63558	391.02312	290.22178	332.41914	358.28686	316.70344	292.36818	281.28934	228.43219	445.67011	432.54149	394.99749	460.5858	368.98784	384.4483	389.67598	327.1217	308.04382	291.96118	281.945	335.36239	303.37577	247.7278	349.11681	376.47334	259.71903	402.7926	318.31194	288.6329	327.59168	275.0936	327.15384	253.93663	278.14331	317.29684	181.59177	237.40965	320.30353	231.00374	341.82198	391.41849	287.95972	301.21176	308.9348	323.12081	381.06885	422.62215	171.93594	295.70461	382.6108	274.8544	194.29814	299.091	194.36588	257.62999	249.07125	437.65807	300.11229	263.3679	322.86544	267.8106	330.59278	290.79547	269.03362	320.09348	223.59526	328.57381	402.01065	270.73182	364.52703	329.58797	335.48078	304.07393	313.45619	263.41258	309.29066	351.88573	203.83609	356.88979	235.81763	284.47147	307.41463	222.42844	354.9408	283.62143	336.29125	234.34225
MMP1	4429.1377	3720.8877	7065.0107	2279.7415	571.04431	13581.6	1142.9194	3344.3123	1524.337	3070.5122	439.1785	10187.515	1275.4591	674.15454	2813.552	2099.4587	675.18665	16882.256	2483.1101	276.97815	115.08868	4335.8945	904.30322	1936.7614	7513.8374	4070.3865	20653.537	6207.2271	18781.146	5546.3228	1898.835	2433.9758	8806.1074	1375.0027	888.18347	2200.6624	3312.9072	923.82428	8227.0967	2286.9282	3237.6255	1334.0879	917.05762	294.89954	30443.652	15108.721	845.73181	3998.9536	3481.5547	16979.961	3807.4556	3601.4143	7688.479	1521.587	2150.8479	3734.6633	346.20557	244.31825	20289.744	25774.857	5022.0991	19354.154	20740.111	2022.5461	241.3656	619.45367	10986.593	9193.5527	2268.3459	24822.529	18479.332	12347.052	6916.2319	158.17554	640.74097	718.53711	1544.2719	17124.217	1822.5011	4984.1318	10636.316	19735.943	15071.153	13621.521	4454.0605	1042.0906	227.85345	678.98328	138.16843	201.15323	10970.294	18173.164	565.07886	321.47092	22461.107	17310.723	2133.2383	1801.2522	2592.9863	23621.621	10572.688	261.62729	2701.7148	9285.6475	3675.8506	8235.2314	4757.9238	1790.1346	8078.9941	928.39917	213.02568	2561.6196	1500.5406
MMP10	1133.2667	728.59467	3061.2524	576.59418	234.62338	1440.877	184.09116	756.15076	251.49901	1819.1285	103.87177	4077.1938	701.66632	277.20712	384.5809	637.19354	205.38667	6160.1938	934.39185	80.584473	57.458588	3065.1501	306.5491	1753.2148	1448.002	352.79004	5701.6504	1073.0438	1600.2853	820.76379	585.7821	587.16693	1471.4767	137.38185	104.86603	148.91022	165.52826	273.66519	704.13648	226.14885	312.12424	295.49377	255.86542	74.84243	5245.1499	813.00342	124.09605	900.73267	241.71211	2359.8081	383.4975	1402.3986	1167.2008	253.94626	381.10996	1187.4806	115.36774	106.70534	4007.3198	3813.0134	214.52239	6301.0361	2070.9316	1211.0656	95.539406	99.265594	739.3797	979.36224	508.72208	3598.3362	681.22754	748.24713	1274.571	22.961679	322.54449	318.043	268.25003	370.15234	244.41867	1292.0435	4511.6118	1124.8787	2856.5493	3634.1797	1885.8013	196.73253	95.628288	237.01466	146.7995	64.811905	2008.9667	4280.3076	218.90614	154.45641	3903.9937	2158.9197	356.15274	250.58026	360.32635	976.52625	852.12799	145.32503	689.80182	4640.6729	1405.9232	2101.2869	912.80042	875.45489	2813.8315	141.74594	88.619751	886.82355	292.5903
MMP12	17291.324	15267.157	23188.447	19675.17	5060.9072	18503.246	7432.9248	19265.172	5957.3306	17856.191	3150.3979	19224.924	8342.0264	5400.6216	6716.0728	10362.993	2931.3511	3148.0625	12590.391	2418.8518	2269.0715	22539.094	4133.4165	21428.396	26214.893	13879.732	22167.74	12883.895	18975.936	12487.543	21951.363	9273.7148	28423.875	4895.833	5316.0171	4806.0537	1478.4054	7839.4292	26693.273	14602.286	6224.2856	5533.354	11587.54	2103.5642	28609.365	16106.359	2256.7542	16162.187	3587.5525	29970.018	2554.3088	17636.283	5615.8579	2275.8154	9560.0967	17917.504	2484.9924	1398.689	23038.41	27087.697	7201.8721	21540.941	17176.961	19546.994	2578.3162	1041.189	11458.966	11805.443	13948.972	25187.805	16085.611	15940.974	20827.316	3899.7625	4448.0435	22210.137	10041.621	16818.471	10704.763	25435.443	27284.014	19373.445	30797.289	26052.438	18817.826	2671.8589	1314.6044	8318.4521	4686.7495	3519.4939	22478.572	29951.654	8830.9873	1266.5029	24056.775	21835.396	2264.5476	403.23233	13338.142	23637.99	17062.41	7037.9287	9458.709	28567.582	19681.023	15071.417	11409.4	7776.4229	14434.92	7100.5884	1537.1571	16911.02	4170.0898
MMP13	31.232405	57.675739	16.642406	6.673829	7.530739	12.74895	10.189673	18.614304	11.703968	9.541782	10.514228	36.141933	8.575245	6.542165	11.868113	22.286407	8.446235	7.382162	7.594312	11.288599	6.277398	17.978794	14.420367	5.355441	29.614302	4.279585	97.243927	22.875856	122.70572	49.434151	5.11728	10.084822	21.514139	6.149742	4.933532	6.754945	15.48433	22.427362	14.23335	26.374264	11.71673	11.466472	5.123143	3.837137	74.514709	1452.7349	12.674099	15.563293	30.760254	95.769073	23.300064	60.788219	28.294792	7.324365	71.518303	9.182376	15.647986	5.20785	1409.3828	496.98685	14.08852	11.042182	122.23011	61.965214	14.719817	6.060495	83.363205	28.639393	31.906191	102.38268	66.292824	32.401749	6.50511	6.965684	7.267949	19.702518	11.396307	6412.437	84.713326	91.369034	32.956017	2534.7939	36.46719	69.035118	28.095034	15.683042	7.853407	12.805291	10.600386	8.453878	7.731863	5.205297	16.958378	13.214252	169.17139	348.9693	22.074362	5.363721	8.456099	2614.4275	837.51379	7.988592	10.586135	12.890895	51.865345	55.793068	12.507539	5.340931	11.165148	5.639239	7.650864	14.172215	5.090491
MMP3	9413.7812	6639.6602	9762.1162	3444.947	1120.9805	10793.914	1576.1189	3609.624	1234.4442	3922.5293	545.60028	12409.979	1169.2294	831.78735	2477.7319	1320.6416	735.12097	21101.549	3072.3181	309.6138	71.871597	4436.5215	1686.2648	2690.937	4578.7178	1701.6245	23351.387	4785.123	20016.33	5067.5264	2062.7241	1203.6415	12967.001	665.47064	348.29031	881.79553	2092.9216	829.69421	7929.2197	833.00226	1634.2125	1033.1705	818.58057	304.68369	32966.137	13279.61	622.38916	4803.1538	1325.9828	16558.199	1118.3347	3927.8296	4300.6675	1201.9846	2736.312	5918.5151	319.59638	166.03889	20799.773	27497.537	4235.7773	24570.193	23818.9	3280.3577	378.68082	600.39636	29857.68	19419.346	5311.4238	29291.994	21798.246	15865.945	8751.1768	393.02655	721.11914	2264.812	5984.9033	17354.008	2951.9729	5168.9097	12841.569	22875.039	20627.932	18769.574	4990.8569	754.48096	252.5135	680.00104	187.45198	133.49367	14324.503	23599.357	872.03027	260.26514	22467.049	17516.051	1676.5212	1073.2631	2589.9045	28458.922	15769.071	455.69308	2502.3665	14434.159	4881.2324	7950.6396	6749.0381	1477.0237	7661.3091	1124.2921	213.15547	5209.8315	1303.5217
NCOR1	752.27824	618.11264	900.56544	778.48558	1016.4902	791.29447	1030.9946	911.97501	1039.6741	891.04513	1029.3307	945.15244	909.04768	993.86569	1015.6667	1052.0832	931.51676	783.98299	942.24169	866.35645	882.09216	802.9364	966.55768	983.07455	978.84766	992.03601	727.98388	827.69794	671.23426	755.40391	1249.1103	933.03974	890.81152	830.86545	808.95774	933.61566	810.34713	883.17463	830.96829	801.65277	893.96438	994.98063	965.30465	897.70451	726.77423	707.17302	997.69835	716.8039	1040.7375	726.82956	860.02073	869.78987	1001.7564	874.88693	876.15892	903.45606	829.78079	1011.0384	719.65917	653.6342	1027.8729	949.62106	750.07952	1014.984	915.00904	1019.7151	721.24455	1001.8849	936.05953	789.03502	851.09738	894.44962	988.92059	1077.5476	1142.3965	823.20528	902.39454	759.55339	796.09961	937.07272	736.62044	797.37621	1064.3474	845.82332	758.41503	1147.1337	1192.3471	1082.2698	966.3928	887.7502	823.03275	1103.3155	972.40467	1006.9932	813.45538	803.56029	977.98675	933.52616	1116.8073	830.77885	978.02523	1192.3901	819.57045	824.27683	915.17464	962.65755	838.13085	949.7266	905.35071	959.58685	1094.5571	838.38064	950.20073
