Gene Symbol	GSM1900148	GSM1900149	GSM1900150	GSM1900151	GSM1900152	GSM1900153	GSM1900154	GSM1900155	GSM1900156	GSM1900157	GSM1900158	GSM1900159	GSM1900160	GSM1900161	GSM1900162	GSM1900163	GSM1900164	GSM1900165	GSM1900166	GSM1900167	GSM1900168	GSM1900169	GSM1900170	GSM1900171	GSM1900172	GSM1900173	GSM1900174	GSM1900175	GSM1900176	GSM1900177	GSM1900178	GSM1900179	GSM1900180	GSM1900181	GSM1900182	GSM1900183	GSM1900184	GSM1900185	GSM1900186	GSM1900187	GSM1900188	GSM1900189	GSM1900190	GSM1900191	GSM1900192	GSM1900193	GSM1900194	GSM1900195	GSM1900196	GSM1900197	GSM1900198	GSM1900199	GSM1900200	GSM1900201	GSM1900202	GSM1900203	GSM1900204	GSM1900205	GSM1900206	GSM1900207	GSM1900208	GSM1900209	GSM1900210	GSM1900211	GSM1900212	GSM1900213	GSM1900214	GSM1900215	GSM1900216	GSM1900217	GSM1900218	GSM1900219	GSM1900220	GSM1900221	GSM1900222	GSM1900223	GSM1900224	GSM1900225	GSM1900226	GSM1900227	GSM1900228	GSM1900229	GSM1900230	GSM1900231	GSM1900232	GSM1900233	GSM1900234	GSM1900235	GSM1900236	GSM1900237	GSM1900238	GSM1900239	GSM1900240	GSM1900241	GSM1900242	GSM1900243	GSM1900244	GSM1900245	GSM1900246	GSM1900247	GSM1900248	GSM1900249	GSM1900250	GSM1900251	GSM1900252	GSM1900253	GSM1900254	GSM1900255	GSM1900256	GSM1900257	GSM1900258	GSM1900259	GSM1900260	GSM1900261	GSM1900262	GSM1900263	GSM1900264	GSM1900265	GSM1900266	GSM1900267	GSM1900268	GSM1900269	GSM1900270	GSM1900271	GSM1900272	GSM1900273	GSM1900274	GSM1900275	GSM1900276	GSM1900277	GSM1900278	GSM1900279	GSM1900280	GSM1900281	GSM1900282	GSM1900283	GSM1900284	GSM1900285	GSM1900286	GSM1900287	GSM1900288	GSM1900289	GSM1900290	GSM1900291	GSM1900292	GSM1900293	GSM1900294	GSM1900295	GSM1900296	GSM1900297	GSM1900298	GSM1900299	GSM1900300	GSM1900301	GSM1900302	GSM1900303	GSM1900304	GSM1900305	GSM1900306	GSM1900307	GSM1900308	GSM1900309	GSM1900310	GSM1900311	GSM1900312	GSM1900313	GSM1900314	GSM1900315	GSM1900316	GSM1900317	GSM1900318	GSM1900319	GSM1900320	GSM1900321	GSM1900322	GSM1900323	GSM1900324	GSM1900325
CLDN2	6.0043974	6.0642596	5.7853705	6.1303222	5.9196912	5.6928328	7.5634853	6.2459886	6.6399197	6.2990583	7.2916537	5.8803883	6.3357089	6.0048272	5.4574039	6.3911822	6.1292379	6.7936971	6.4183509	6.2409898	5.4956805	6.6104147	5.5274536	5.5320817	6.9845914	6.1337415	6.3980555	6.3264768	6.5156396	6.0094184	6.9844245	7.1221905	6.7430482	6.185182	5.8912449	6.0587269	6.7752245	6.799408	6.948983	6.7288998	6.2889709	6.3872123	6.1058125	6.2967791	6.6922754	6.0319517	6.1029005	6.4190842	6.7851514	5.7925636	6.0581769	6.7257071	6.5153349	5.7844427	6.7201846	6.637668	6.8771993	6.8357195	6.6465498	6.7553936	6.6213683	6.7680638	6.8383778	5.5463607	5.684111	6.4635022	6.8769983	6.3481143	5.7158975	6.7707895	6.7173442	6.8121376	6.7240521	5.4782725	5.8407446	5.575491	5.4209258	5.8991083	5.66441	6.9078079	6.7816243	5.7647427	6.7951131	6.9330888	6.1824457	6.6307583	7.192784	7.2300326	6.2660771	6.0333875	5.677537	6.8674914	6.7518015	7.3360386	6.8258484	6.7596311	6.8140454	6.4219958	6.4948861	5.9505284	6.5885996	6.5383395	6.6514451	6.8336284	6.6978534	6.3367468	6.8892894	7.1865526	6.4521812	6.890717	6.0667274	6.3756737	6.7943574	5.9655438	5.736853	6.7785937	6.6599366	6.219122	5.6771564	5.8122712	6.5026751	6.4846303	5.6410404	6.9476352	6.5984927	5.7025997	6.6551286	6.6978581	7.1987849	6.6285074	5.6999461	6.2466965	6.5537248	6.4382906	5.6443535	6.8752458	7.053358	6.4431205	7.1677019	6.9949403	6.5278305	7.0790628	6.2855123	6.4540504	6.6153018	6.4118019	6.9589249	6.8148865	6.993301	6.5447567	6.7772308	7.1656526	6.9875568	6.4966613	6.5560138	7.7795424	5.9412825	6.3076389	5.6054858	6.9555814	6.5384225	5.9999347	6.8580598	6.8117822	6.0135295	6.5774911	6.8236922	6.4915458	6.4559876	6.7403271	6.2299756	6.4801872	5.5685704	6.4671579	6.8089794	6.3114161	6.7660654	6.5623212
HDAC3	9.0526554	8.8764339	8.7580065	8.8987448	8.9174393	9.1041394	8.9700975	9.084065	9.2795113	8.9667219	9.0663875	9.0369139	9.0435682	8.6521462	8.9192673	8.7360888	8.672185	8.8276511	8.88524	8.9059576	8.7968815	9.0807125	9.0320158	8.6619996	9.0222865	9.0270355	8.5161809	9.1003776	9.0496711	8.980451	9.0090138	8.8373709	9.0316235	9.0507376	9.0360879	9.0635266	9.0691739	8.8374206	9.1843068	9.1234241	8.6749471	8.8294111	8.9619263	8.4862221	8.8959837	9.0025029	8.8574354	9.1219418	8.6249546	8.7956745	8.9062997	9.0186603	8.6797615	8.7633195	9.1527169	9.0928683	9.0542598	9.104859	9.1540358	8.9487435	8.8516589	8.9039705	8.845811	9.0574469	8.8889416	9.0427104	8.9275882	9.0031653	9.0558257	8.9488115	8.9226512	8.971856	8.8996685	9.0854331	8.7040936	8.7788976	9.0228803	8.8864126	8.9181737	8.8291095	8.9062644	8.7178832	8.8664478	9.0594224	8.983494	8.8673586	8.9162708	8.8964292	8.8328331	8.7429254	9.0614088	8.8394834	8.9295215	9.0217056	9.0496482	8.6229795	8.6607168	8.7334519	8.898847	8.9582779	8.6560979	8.7546287	8.9739005	8.9972444	8.8586733	8.3106802	8.9873141	9.0064112	8.8296538	8.8349156	8.7612082	8.0489702	8.9072032	8.8286248	8.694115	8.6903956	8.9939148	8.7192107	8.8597818	8.877238	8.7044626	8.5522766	8.4797201	9.1730662	8.9448714	8.9804492	8.8947	8.9990082	8.7108963	8.7570558	8.6856321	8.6911947	8.7128053	8.9004619	8.7189397	8.9139514	8.8881694	9.1200064	8.6617853	8.6714574	8.5858172	8.9036646	8.6652223	8.7633953	8.6980807	8.8011462	9.0734846	8.8836514	8.8373874	8.6662606	8.8663238	8.9005659	8.9243906	8.417454	8.7484485	8.6670886	8.7485519	8.7860738	8.902618	8.8832112	8.8812495	8.70841	8.9581088	8.9977668	8.8390186	8.9286382	9.03539	8.8321028	8.9419163	8.848813	8.9827619	8.9155887	8.6385278	8.8757496	8.9928562	8.9009549	9.0621343	8.8566415
IPMK	8.8400347	9.231937	9.5891893	9.5776077	9.9468916	9.9311821	9.2904756	9.4071186	9.1189358	9.241116	9.4176835	9.8526604	9.5002288	9.413258	8.7232379	8.8007133	8.941079	9.4104523	8.8624752	9.5488444	9.0924115	8.7928086	9.0526853	9.3473356	9.2764002	9.2985121	9.1846771	9.0567551	8.9440484	9.1252812	8.9298115	9.2492861	9.2485965	9.6925076	9.046626	9.7927483	9.5180819	9.3632921	10.110555	9.6738157	9.6544606	9.3889295	9.1883782	8.8437472	9.3535946	9.3209382	8.8202455	9.2519581	8.8895396	9.4655057	9.4441467	8.9928384	9.1065532	9.338498	9.3615902	9.4947067	9.7790234	9.4209327	9.3240906	9.5169921	9.4946304	9.3998094	8.9191902	9.5569129	9.0937509	9.2016555	9.2726534	9.762579	9.3652354	9.508068	9.0307419	9.1474031	9.4116239	9.6391855	9.7125117	9.5878832	9.6164472	9.4582836	9.8591198	9.2159117	9.3291759	9.4127622	9.2400074	9.2950851	9.473463	9.3133377	8.6568081	8.711073	9.6079803	9.5979514	9.4293096	9.2173951	8.497812	8.9166005	8.7175377	8.2095306	9.0654811	8.652309	9.3225008	9.249003	8.5648006	8.859722	8.7741959	8.5321597	8.6220094	8.1427457	9.3336675	8.7730547	9.005379	9.3865443	9.1215615	9.0125357	9.4150377	9.0116136	9.2206229	8.8836674	9.5388799	10.258293	8.6342964	9.1662124	9.8083211	8.7767984	9.4364485	9.1872775	8.9557572	9.8170906	8.9012869	8.4727954	9.264433	8.6740851	8.8263903	8.5554632	9.352366	9.4049561	9.2823919	9.4134123	8.0252249	9.1741845	8.6346606	9.3050137	9.3088266	9.0293804	8.6406055	9.0637083	9.2329272	9.1486859	8.8037911	9.0171447	8.6626423	8.8527691	9.4523945	8.8934979	8.971251	9.0430249	9.2466487	8.7796897	8.9050845	9.0766654	9.3284662	8.9004441	9.1703363	9.1831277	9.0160678	9.5741016	8.6496057	9.246105	9.0071389	8.9914798	9.1814785	9.5753901	9.5994419	9.0575025	8.6745506	8.4572284	9.0492172	9.660429	9.0710055	9.558166
IPPK	7.3881896	7.4804785	7.4889513	7.3773991	7.4791354	7.5386619	7.6409522	7.4177309	7.8063934	7.4379024	7.7434821	7.3384296	7.8081958	7.3369779	7.3154534	7.0454579	7.191662	7.2902454	7.4012367	7.3121311	7.3347482	7.3878086	7.3169572	7.3642373	7.6580907	7.3893681	7.3485161	7.7065579	7.4483162	7.3405703	7.6930709	7.5327261	7.6519043	7.6535982	7.4394997	7.738307	7.5236565	7.7172156	7.7263373	7.6411799	7.6528071	7.5988434	7.4613583	7.3667132	7.5103852	7.5214066	7.7281798	7.4208054	7.323712	7.2991153	7.4330878	7.5054582	7.3567801	7.3782219	7.5395855	7.6900162	7.675149	7.7001283	7.6091783	7.6343979	7.7976399	7.5299147	7.4670186	7.4472775	7.75848	7.6880886	7.6295909	7.677998	7.4752249	7.6753666	7.2890757	7.5087717	7.4696778	7.419375	7.2701805	7.2738787	7.2779392	7.2854419	7.3240717	7.5587374	7.3745951	7.3926357	7.4263227	7.5200392	7.7241043	7.7463186	7.215449	7.2062839	7.5355644	7.4273433	7.0909028	7.1479118	7.1413098	7.6625545	7.5605837	7.6227926	7.2537847	7.1022186	7.4250485	7.3677861	7.1098874	6.8907018	7.0984887	7.5227334	7.2474537	6.7947684	7.6008381	7.5100577	7.5558809	7.5965122	7.136774	7.0069372	7.3849946	7.3791742	7.2304682	7.6567105	7.1586248	7.3159606	7.3782509	7.2681557	7.5699539	7.4058979	7.2960575	7.3866727	7.2492845	7.3816517	7.5071249	7.3748271	7.0896774	7.446156	7.1934521	6.9746656	7.2316016	7.3448101	7.4014401	7.5785048	7.343523	7.5580828	7.3882717	7.2228365	7.1984022	7.3057562	7.2691144	7.6311607	7.4006179	7.4168586	7.5535834	7.4979686	7.4462725	7.3193211	7.5138798	7.5871558	7.3921011	7.2966235	7.3071738	7.4143349	7.4421609	7.1758096	7.3896546	7.165791	7.2491696	7.1915376	7.3421737	7.4380742	7.1760007	7.3115601	7.3601788	7.3868826	7.3575217	7.379061	7.6606561	7.3815212	7.5367202	7.318636	7.4419211	7.4275638	7.4171889	7.5113787
MMP1	12.391475	5.6536218	5.2348906	9.1817701	5.8451278	5.8579497	11.440597	11.731245	8.3999766	6.337982	8.4544509	5.3637947	6.2845474	7.3747243	12.686708	6.849497	6.2570857	9.0082299	10.678711	9.9705637	7.6736802	11.781768	7.384902	13.066936	11.11047	10.84831	9.7291724	11.370897	12.098297	6.8594754	11.182153	9.0653951	10.10679	8.2756139	5.9073272	6.7850669	11.461109	11.923326	9.1288943	10.825481	11.876433	6.6608654	7.0530772	11.906442	9.3715859	5.5715957	7.6608392	11.78518	9.5344467	6.5587318	6.3936164	11.467857	12.267124	8.1534712	9.6182586	9.7633535	8.8697575	7.1073157	11.404959	9.1280483	10.379601	7.2515607	12.02956	5.6196493	6.2270575	7.7239934	10.142409	7.6999037	5.9410106	9.702331	11.610722	11.689572	10.39155	5.8345457	5.0724637	5.3855233	6.1789956	5.673557	5.268498	10.501297	8.7065485	5.5537481	7.3157277	11.199923	10.581172	12.075666	9.1547165	10.604249	5.4895277	6.7872486	7.2269658	8.0429453	8.2822369	10.954421	11.73906	9.9200037	11.306996	6.101722	8.0790399	8.4493554	9.3716069	12.034269	8.4456162	11.933082	11.826486	7.0441418	8.4642786	10.736307	9.3300797	11.45899	12.327532	6.6277413	9.1500375	6.0969853	5.770524	9.2687146	11.393572	8.5823451	5.838494	5.4262179	8.2401683	6.8763256	5.202337	11.283893	9.9281502	6.7103618	11.205344	10.744046	6.9197353	10.108293	11.675989	6.1711986	8.2882079	7.4050213	7.2645093	12.06173	8.069006	12.662639	10.555778	8.7280074	6.0164858	7.2707822	8.5722259	7.5227743	8.6652086	8.2538194	9.5257934	7.4201076	9.219087	9.9100266	9.5945436	8.769131	7.6965609	5.7993064	8.9100611	10.275429	6.181182	9.2351725	6.9096584	9.8630023	7.3232362	7.5359862	9.8915508	8.2228599	7.5142116	6.7042569	10.292156	11.371919	9.5273545	7.1655106	10.385822	7.8656839	12.96193	9.994755	12.493959	8.8733695	10.788918	11.672586
MMP10	8.0100927	4.8998455	4.8097602	5.368491	4.8630434	4.7097601	8.4098652	8.1908753	5.4575397	4.9340514	5.8320017	5.0634415	5.0290649	5.0200833	6.0743367	4.603418	4.9003629	5.4345467	6.3762647	6.7603734	4.8955882	7.8823187	4.8765651	8.1315884	7.0044526	5.6410099	7.0993592	8.6379918	8.0743875	4.5464154	8.2223156	6.7306862	6.4927566	7.3689946	5.1567006	6.2956472	8.9943544	7.5962571	6.7384353	7.0893928	7.1799387	5.2404328	5.0263833	6.8842037	5.7498535	4.9712842	5.5163888	8.148075	6.622335	4.496936	4.7236846	7.4568092	6.7589429	5.151363	7.4876949	7.7335801	6.8692935	5.1293302	8.7871352	6.7055855	7.3463705	5.6485208	8.4931925	4.7194802	4.4680382	6.4585248	6.5981462	6.1443219	5.0850258	7.1742177	8.1046706	7.4788838	7.715599	4.5778749	4.904256	4.7090136	4.6965064	4.7545856	4.5435851	7.2637924	6.3853702	4.834532	5.1654447	6.0295196	5.4466632	8.9844616	6.7233837	7.5691221	5.1460953	4.7701884	5.0894337	5.8617374	5.8080134	7.2844805	7.7026474	6.9153117	8.134663	4.9831073	5.8976842	6.0823299	6.6534933	7.7303558	6.0573684	6.5163178	6.1163835	5.0480237	5.4857809	7.7797123	6.436832	7.9798772	7.6372764	5.349332	6.6958991	4.8022735	4.2554021	7.6636223	7.3143084	7.3049094	4.6908724	4.7032703	5.7034967	5.4418378	4.553077	7.3312938	7.1007634	5.2957928	7.6428664	6.2424388	5.5939	8.0139411	7.8951512	5.3866135	6.2392235	4.9378968	4.9188209	9.2333253	6.3877936	8.2794594	7.5372627	6.8585814	5.0778245	5.3722734	6.0469984	5.9179875	6.1706291	5.6524149	6.8447483	6.1256536	7.5480141	7.148974	6.6995677	8.1226993	6.5252674	5.9329868	6.7014937	6.7264984	5.2165249	5.5454361	4.8168591	6.9536879	5.6489013	5.9339165	7.6863771	6.2832242	6.2826812	5.8685267	6.3619299	7.011805	5.7536161	5.5118364	6.8866072	5.2104662	7.4028369	6.0417935	9.0132773	7.0065064	6.5003387	6.6848467
MMP12	10.916487	6.929874	5.2210101	7.828611	5.6857797	5.2135184	10.171758	10.005245	6.761737	7.237395	8.3648119	5.6126509	6.0958924	7.5046967	9.7729217	6.6885183	7.217181	8.8474926	9.5287374	8.8350451	7.5037271	10.989563	8.2351573	10.488473	9.8048783	8.5027426	10.058438	10.721173	11.167543	8.0470182	10.326476	9.5378215	9.0013762	9.4283836	5.9235359	8.5943755	10.640097	10.550746	10.226402	10.113719	10.334418	7.6117731	6.558755	10.409731	9.2694215	6.8176759	8.1092439	10.628723	10.652743	7.5647142	6.5431536	10.098284	8.2847275	7.6098225	10.042402	9.2549512	8.6986979	7.5201405	10.681085	9.3120074	9.6895686	8.3302604	9.2906577	5.5991301	5.7393508	8.9542115	9.9142099	8.9436068	7.0014082	10.059958	10.718786	10.832614	10.643548	6.4026612	8.3311556	5.6101415	7.5861233	8.4995332	7.2593967	9.4214952	8.7112743	5.390637	6.7865897	8.9069078	8.3672425	11.251081	9.4314785	10.17318	5.4736215	7.3369016	6.6087016	8.521557	8.3779373	10.506577	10.321623	8.0462889	10.296412	6.0675026	9.32867	10.451158	8.9447577	9.3426584	8.9239873	10.157669	9.9166396	6.6064641	9.8527907	9.6230754	9.0279831	10.364393	10.749504	9.3120434	10.786324	7.2480639	7.2568498	8.6776033	10.372008	9.7399868	5.8073106	6.6734617	9.9732788	5.7831666	5.7271723	10.745039	9.1212989	7.8066784	9.3696173	7.7933072	9.5618286	8.2460076	9.7075428	7.0876475	9.6089866	8.2152566	7.9601687	10.02217	8.2144823	10.556333	10.043329	8.3950451	6.4311568	8.0837982	7.8716917	7.4597667	8.9727199	7.2441529	10.444032	9.4712562	9.7644547	8.9532099	10.786329	8.5029119	8.4178301	7.3754437	9.3825938	9.291027	6.588126	8.5942626	8.1269733	9.3571958	9.2399386	7.7665362	10.416967	10.1521	9.4278371	7.0220333	10.110419	10.563625	9.2373152	8.5095282	8.9511737	7.5438767	9.5928307	8.8078717	11.09387	10.007111	11.059673	9.7774562
MMP13	9.0004065	4.4048037	4.4274822	4.4425204	4.6535747	4.4640693	4.8264936	5.6541711	4.3848076	4.2593177	4.5835308	4.5627353	4.4872158	4.4846003	5.1947457	4.2774463	4.258771	4.657543	5.8023639	4.4582584	4.6987851	7.3743749	4.1831062	9.8895132	8.0593351	5.5306468	5.253629	4.6263437	5.2002838	4.3039836	4.676321	4.5083162	4.8248765	4.4355228	4.5528574	4.6352549	5.103341	7.2324681	4.3298292	5.0566027	8.4201568	4.4288501	4.4819518	5.3681545	5.4087519	4.5407533	4.7105481	5.2603121	4.6021449	4.4423269	4.5053719	6.9499103	8.8127942	4.3214308	4.4953958	4.4396975	4.4772512	4.3647796	4.642818	4.7717295	5.4497927	4.6775733	6.6231982	4.5676548	4.5622697	4.4214219	4.6420722	4.2350163	4.4160029	4.4068269	5.6439725	5.5199975	4.3920042	4.3713749	4.3292463	4.3862381	4.4447116	4.560069	4.4050641	5.5264952	4.3967947	4.4169376	4.5708125	7.4904919	6.9069779	7.7164522	4.9994298	4.8178269	4.5333364	4.6135434	4.6753241	4.498299	4.5084016	6.2503525	5.7046016	5.4636824	4.8949646	4.7625694	4.7938463	4.5553933	4.7604102	8.5109006	5.4032266	6.9460802	7.6078978	5.2148469	4.3573347	4.3653394	4.617553	4.7333369	6.8751387	4.307982	4.6570176	4.3848096	4.5100716	4.5601048	5.3832529	4.6215061	4.5863083	4.3780291	4.432851	4.8307206	4.4112619	6.9341317	5.0277145	4.7160667	4.8885721	7.8500495	4.5207441	4.8273469	8.5100364	4.7619564	4.568405	4.5689763	4.1244221	8.5339815	4.6383991	10.999144	6.7891823	4.7393218	4.4744538	4.6110732	5.056282	4.5958937	4.7949822	4.774663	4.4718857	4.4346431	4.928113	4.5289139	4.6959456	4.4925121	4.6910013	4.5685038	4.4647665	5.0716144	5.2397574	4.506473	4.2628521	5.4063502	4.3319052	4.4732751	4.9089133	4.5799591	4.7104631	4.4179252	4.8914128	4.4628876	4.4547983	4.4628642	4.5460082	4.3955626	8.5497851	4.7408156	4.9470409	4.6099556	5.6431468	6.6723326
MMP3	11.725772	5.4071325	4.3216899	7.8933399	4.8933499	4.4178848	10.805954	11.988241	6.3043733	6.0473977	8.2550204	4.573856	5.9597056	5.961079	12.599412	5.2409146	5.4340185	8.2387885	9.8356802	9.8066099	5.3426256	11.260017	6.3754511	13.129666	10.715807	9.8130554	9.5848715	11.176807	11.642806	5.4215493	10.98462	9.3601324	10.138977	9.2698013	5.7212837	7.3263	11.683375	11.274634	8.2058219	10.693545	11.578634	6.5336791	5.8990291	11.682691	8.8603981	4.9505619	6.7766655	12.013547	9.4919026	5.2061521	5.2500322	11.742802	12.075668	6.1905555	9.9066665	9.9743786	8.295377	5.8143739	11.69039	9.0047218	10.386865	7.875113	11.843711	4.5483593	5.4017247	7.9269071	9.8628175	8.3136337	5.2340453	9.6453193	12.436164	11.793952	10.21828	4.6126121	4.7754218	4.6899837	4.9122511	4.8489101	4.3539265	9.7499119	7.9494711	5.1136582	6.8993377	9.8264997	9.4279898	12.233329	9.186552	10.123358	4.8001575	5.2098878	5.4285422	7.2913143	7.6494907	10.240774	11.463969	10.466456	11.489083	5.5281631	7.542706	7.4098071	9.9391592	12.442039	7.7748438	11.260284	10.906028	7.4458269	7.9689005	10.794196	9.8454784	11.342349	12.432999	7.3336209	9.4590399	5.4612587	4.7748711	9.5736019	10.767543	8.8511811	5.767671	4.3164547	7.5150933	6.145758	4.8443644	10.602808	9.5254938	5.6242666	11.582558	10.310757	7.2456995	10.834759	11.90272	6.085535	8.1171091	5.8878183	5.711928	12.886748	8.9604006	12.028605	10.55401	9.1899682	5.1312046	7.087282	9.4358605	7.3905751	8.6815754	8.4715295	9.7352285	7.6402875	9.4924158	11.077209	10.151555	10.034171	8.6184611	7.6032483	9.7468265	10.882975	5.4376929	6.9687743	6.2028456	9.508309	7.4010123	7.1025942	10.044505	8.0000953	8.1019595	6.2104023	10.098344	11.119107	9.1984842	6.5354482	10.109869	6.2212651	13.101419	10.078772	12.482997	8.3667815	10.779287	10.405124
NCOR1	9.1495107	9.6586989	9.5784281	9.538895	9.4640921	9.7104802	9.4159894	9.6812673	9.4972733	9.6588319	9.66357	9.4680841	9.6520315	9.5407587	9.0125446	9.4253889	9.4471175	9.4921758	9.3124979	9.7694227	9.6438659	9.2908288	9.5831526	8.8632811	9.4042911	9.677014	9.4401881	9.4969616	9.0354708	9.5196772	9.3128885	9.4284666	9.6071133	9.6243043	9.4449692	9.4807005	9.6326742	9.3206191	9.7740338	9.6896285	9.6793291	9.6025537	9.5159215	9.2338133	9.488932	9.4828972	9.4184289	9.2298195	9.3656831	9.7877034	9.7191929	9.3487799	9.5913235	9.8070886	9.5388415	9.6296158	9.7841361	9.6073729	9.329	9.5941442	9.5258904	9.4297251	9.4365556	9.4881353	9.2438681	9.4164524	9.5679224	9.7637916	9.4380574	9.48045	9.310211	9.5249373	9.4874955	9.7680319	9.5539281	9.6930042	9.7731305	9.6711334	9.7297134	9.3594276	9.6139537	9.6343482	9.4810697	9.5639776	9.5388886	8.9250615	9.0930566	9.1295874	9.7005008	9.2915715	9.5961672	9.4229471	9.3832156	9.150955	9.3081529	8.9591602	9.3602809	9.3563741	9.4127717	9.4545026	9.1523057	8.7360671	9.0997582	8.9892767	8.839684	9.2758044	9.587631	9.2907588	9.3691298	9.3287504	8.5115689	9.4111991	9.5273952	9.5381397	9.5371514	9.5642743	9.5889876	9.7553398	9.4415903	9.260322	9.5968042	9.5022425	9.7016842	9.3786564	9.3397168	9.6438342	8.9162483	9.1782301	9.4284062	9.288267	8.8783102	9.420436	9.43973	9.5537335	9.6066758	8.9044118	9.1829641	9.4290583	9.0696661	9.6050705	9.4588355	9.0943076	9.0483721	9.5948748	9.4187738	9.4131475	9.5335382	9.6147891	9.2323201	9.2655422	9.5198016	9.3274711	9.3712985	9.4723802	9.6341021	9.1451667	9.7698589	9.4735424	9.664664	9.4783928	9.5943249	9.742928	9.253081	9.467123	9.2497668	9.6891415	9.3312818	9.4990628	9.5476294	9.5551296	9.7853799	9.4798712	8.8100068	9.0363551	9.4194679	9.4581859	9.2541035	9.5335532
