analysis	n	term	or_per_1sd	ci_lower	ci_upper	pvalue	panel	ibd_endoseverity_num	mean	sd	activity_measure	n_pairs	n_ibd_participants	spearman_rho
one_per_participant_ibd_vs_control_unadjusted	1162.0	axis_score_z	1.6786378989121142	1.4323784228767995	1.9672351598292976	1.5608094326031516e-10	A_ibd_vs_control							
one_per_participant_ibd_vs_control_adjusted	1162.0	axis_score_z	1.631713534662433	1.3580960514470874	1.960457109321257	1.7097489139553808e-07	A_ibd_vs_control							
all_biopsies_gee_adjusted	2490.0	axis_score_z	1.1561990940547586	1.124959830449897	1.1883058478260773	2.8869842264142724e-25	A_ibd_vs_control							
	340.0						B_endoseverity_strata	0.0	0.0528183317030402	0.4686051497410871				
	310.0						B_endoseverity_strata	1.0	0.1449624211010303	0.5000690497874952				
	184.0						B_endoseverity_strata	2.0	0.2106807353702805	0.6376661974122709				
	82.0						B_endoseverity_strata	3.0	0.3855446113975801	0.6861432438500185				
				0.0748374448916912	0.2018982606456339	2.4450093037858187e-05	C_activity_correlations				endoscopic_severity_4levels	916.0	919.0	0.1389396208543456
				0.013447085999178	0.2030130490463712	0.0255444611834096	C_activity_correlations				mayo_score_uc	418.0	919.0	0.1092230452054677
				-0.0048971514788842	0.1696377987643813	0.0641820103523208	C_activity_correlations				sescd_total_cd	498.0	919.0	0.0830068233593938
				0.2546065888488571	0.4045041001745946	2.087262476531868e-15	C_activity_correlations				nancy_histology_index	543.0	919.0	0.3316469097325903
				0.2622153462138504	0.4113007214188137	4.658410838452928e-16	C_activity_correlations				ghas_histology_sum7	543.0	919.0	0.3388836590870194
				-0.1298075422331543	0.0611131255188614	0.4781176493813464	C_activity_correlations				sccai_uc	421.0	919.0	-0.0346634617595834
				-0.07049753578964	0.1051857017466691	0.6971953249575038	C_activity_correlations				hbi_cd	498.0	919.0	0.0174789944204644
				0.0446127968368651	0.1750394806105037	0.0010338740183172	C_activity_correlations				crp_log2	882.0	919.0	0.1103009766605006
				-0.0723602844038534	0.2018869308036209	0.349423259508858	C_activity_correlations				fecal_calprotectin_log2	203.0	919.0	0.066009827130546
